iso3,continent
AFG,AS
ALB,EU
DZA,AF
ASM,OC
AND,EU
AGO,AF
AIA,NA
ATA,AN
ATG,NA
ARG,SA
ARM,AS
ABW,NA
AUS,OC
AUT,EU
AZE,AS
BHS,NA
BHR,AS
BGD,AS
BRB,NA
BLR,EU
BEL,EU
BLZ,NA
BEN,AF
BMU,NA
BTN,AS
BOL,SA
BIH,EU
BWA,AF
BVT,AN
BRA,SA
IOT,AS
BRN,AS
BGR,EU
BFA,AF
BDI,AF
KHM,AS
CMR,AF
CAN,NA
CPV,AF
CYM,NA
CAF,AF
TCD,AF
CHL,SA
CHN,AS
CXR,AS
CCK,AS
COL,SA
COM,AF
COG,AF
COD,AF
COK,OC
CRI,NA
CIV,AF
HRV,EU
CUB,NA
CYP,AS
CZE,EU
DNK,EU
DJI,AF
DMA,NA
DOM,NA
ECU,SA
EGY,AF
SLV,NA
GNQ,AF
ERI,AF
EST,EU
ETH,AF
FLK,SA
FRO,EU
FJI,OC
FIN,EU
FRA,EU
GUF,SA
PYF,OC
ATF,AN
GAB,AF
GMB,AF
GEO,AS
DEU,EU
GHA,AF
GIB,EU
GRC,EU
GRL,NA
GRD,NA
GLP,NA
GUM,OC
GTM,NA
GIN,AF
GNB,AF
GUY,SA
HTI,NA
HMD,AN
VAT,EU
HND,NA
HKG,AS
HUN,EU
ISL,EU
IND,AS
IDN,AS
IRN,AS
IRQ,AS
IRL,EU
ISR,AS
ITA,EU
JAM,NA
JPN,AS
JOR,AS
KAZ,AS
KEN,AF
KIR,OC
PRK,AS
KOR,AS
KWT,AS
KGZ,AS
LAO,AS
LVA,EU
LBN,AS
LSO,AF
LBR,AF
LBY,AF
LIE,EU
LTU,EU
LUX,EU
MAC,AS
MKD,EU
MDG,AF
MWI,AF
MYS,AS
MDV,AS
MLI,AF
MLT,EU
MHL,OC
MTQ,NA
MRT,AF
MUS,AF
MYT,AF
MEX,NA
FSM,OC
MDA,EU
MCO,EU
MNG,AS
MNE,EU
MSR,NA
MAR,AF
MOZ,AF
MMR,AS
NAM,AF
NRU,OC
NPL,AS
NLD,EU
ANT,NA
NCL,OC
NZL,OC
NIC,NA
NER,AF
NGA,AF
NIU,OC
NFK,OC
MNP,OC
NOR,EU
OMN,AS
PAK,AS
PLW,OC
PSE,AS
PAN,NA
PNG,OC
PRY,SA
PER,SA
PHL,AS
PCN,OC
POL,EU
PRT,EU
PRI,NA
QAT,AS
REU,AF
ROU,EU
RUS,EU
RWA,AF
SHN,AF
KNA,NA
LCA,NA
SPM,NA
VCT,NA
WSM,OC
SMR,EU
STP,AF
SAU,AS
SEN,AF
SRB,EU
SYC,AF
SLE,AF
SGP,AS
SVK,EU
SVN,EU
SLB,OC
SOM,AF
ZAF,AF
SGS,AN
ESP,EU
LKA,AS
SDN,AF
SUR,SA
SJM,EU
SWZ,AF
SWE,EU
CHE,EU
SYR,AS
TWN,AS
TJK,AS
TZA,AF
THA,AS
TLS,AS
TGO,AF
TKL,OC
TON,OC
TTO,NA
TUN,AF
TUR,AS
TKM,AS
TCA,NA
TUV,OC
UGA,AF
UKR,EU
ARE,AS
USA,NA
UMI,OC
URY,SA
UZB,AS
VUT,OC
VEN,SA
VNM,AS
VGB,NA
VIR,NA
WLF,OC
ESH,AF
YEM,AS
ZMB,AF
ZWE,AF
ALA,EU
GGY,EU
IMN,EU
JEY,EU
BLM,NA
MAF,NA
GBR,EU
CUW,NA
SXM,NA
BES,NA
